Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2018,niagara,12.8,211758.0,8525.0,1051.0,2.9337479697
2018,oneida,13.1,231190.0,9749.0,1347.0,3.2458246752
2018,onondaga,13.2,466194.0,19867.0,2648.0,4.9815438385
2018,ontario,10.0,109828.0,4385.0,630.0,
2018,orange,8.7,379210.0,18229.0,2814.0,3.2690359575
2018,orleans,12.4,41346.0,2010.0,301.0,
2018,oswego,13.5,118987.0,5678.0,742.0,1.2983211527
2018,otsego,11.9,60097.0,2546.0,331.0,
2018,putnam,5.2,98900.0,4011.0,634.0,
2018,rensselaer,11.7,160070.0,6144.0,742.0,3.0392772956
2018,rockland,9.5,326780.0,17864.0,2942.0,1.3825780889
2018,st. lawrence,13.9,110038.0,4966.0,713.0,1.5379212943
2018,saratoga,8.8,227053.0,8319.0,1027.0,1.0225537
2018,schenectady,11.8,154553.0,6419.0,919.0,4.5155713488
2018,schoharie,10.9,31317.0,1334.0,171.0,
2018,schuyler,11.9,18099.0,841.0,113.0,
2018,seneca,11.5,34777.0,1600.0,243.0,
2018,steuben,13.1,96940.0,4080.0,673.0,1.452008927
2018,suffolk,5.9,1492583.0,78715.0,9398.0,2.4980180324
2018,sullivan,11.8,74801.0,4755.0,572.0,2.9989166414
2018,tioga,9.9,48760.0,1929.0,287.0,
2018,tompkins,14.0,104871.0,4572.0,567.0,
2018,ulster,10.5,179225.0,9843.0,959.0,1.7356413155
2018,warren,11.3,64567.0,2675.0,356.0,
2018,washington,11.5,61800.0,2712.0,342.0,2.5067796996
2018,wayne,10.6,90798.0,4196.0,681.0,
2018,westchester,8.1,974542.0,60401.0,6437.0,2.1156800595
2018,wyoming,11.2,40791.0,1628.0,256.0,
2018,yates,11.0,24923.0,1418.0,464.0,
2017,albany,13.1,309381.0,16437.0,1921.0,2.8
2017,allegany,12.4,47462.0,2655.0,414.0,
2017,broome,13.7,196567.0,10064.0,1277.0,3.8
2017,cattaraugus,13.1,77922.0,5296.0,791.0,
2017,cayuga,11.6,78288.0,4166.0,567.0,
2017,chautauqua,13.0,130779.0,7380.0,909.0,1.9
2017,chemung,13.2,87071.0,4008.0,504.0,2.1
2017,chenango,11.9,48844.0,3041.0,387.0,
2017,clinton,12.8,81251.0,4595.0,540.0,1.9
2017,columbia,10.2,61509.0,3824.0,500.0,
2017,cortland,12.5,48494.0,2529.0,355.0,
2017,delaware,11.6,46053.0,2979.0,404.0,
2017,dutchess,9.7,295754.0,17366.0,2100.0,2.6
2017,erie,13.6,922578.0,46693.0,5587.0,6.2
2017,essex,11.6,38478.0,2258.0,291.0,
2017,franklin,13.8,50660.0,3545.0,590.0,
2017,fulton,13.3,53992.0,3577.0,407.0,
2017,genesee,11.1,58937.0,3411.0,462.0,
2017,greene,11.8,47625.0,2848.0,350.0,
2017,hamilton,10.5,4712.0,295.0,42.0,
2017,herkimer,12.7,63100.0,3762.0,523.0,
2017,jefferson,14.4,117635.0,7143.0,1034.0,2.5
2017,lewis,12.2,26957.0,1846.0,296.0,
2017,livingston,11.4,64717.0,3055.0,387.0,
2017,madison,11.0,71849.0,3578.0,537.0,
2017,monroe,13.4,749600.0,38913.0,4438.0,5.4
2017,montgomery,12.7,49642.0,2997.0,428.0,
2017,nassau,6.4,1361350.0,72469.0,9443.0,2.2
2017,niagara,12.9,212652.0,11278.0,1335.0,2.5
2017,oneida,13.0,232500.0,12632.0,1828.0,3.5
2017,onondaga,13.2,468463.0,24517.0,3338.0,4.8
2017,ontario,10.2,109561.0,5741.0,704.0,
2017,orange,9.3,377647.0,22965.0,3517.0,3.1
2017,orleans,12.6,41582.0,2735.0,379.0,
2017,oswego,13.4,120146.0,7390.0,829.0,1.4
2017,otsego,11.6,60636.0,3695.0,444.0,
2017,putnam,5.5,99042.0,5453.0,731.0,
2017,rensselaer,11.8,160266.0,7863.0,965.0,2.9
2017,rockland,9.5,326037.0,20658.0,3815.0,1.2
2017,st. lawrence,13.9,111007.0,6691.0,862.0,1.7
2017,saratoga,9.0,226249.0,9024.0,1219.0,1.0
2017,schenectady,12.0,154604.0,8893.0,1167.0,4.7
2017,schoharie,11.1,31330.0,1824.0,239.0,
2017,schuyler,11.4,18186.0,979.0,130.0,
2017,seneca,11.5,34833.0,2090.0,303.0,
2017,steuben,12.8,97631.0,5809.0,846.0,1.6
2017,suffolk,6.4,1501587.0,99117.0,11796.0,2.5
2017,sullivan,12.7,74877.0,5900.0,761.0,2.8
2017,tioga,10.0,49453.0,2429.0,361.0,
2017,tompkins,13.5,104926.0,5812.0,689.0,
2017,ulster,10.8,180143.0,11845.0,1415.0,1.3
2017,warren,11.5,64688.0,3412.0,413.0,
2017,washington,11.4,62230.0,3864.0,461.0,2.5
2017,wayne,10.7,91446.0,5290.0,770.0,
2017,westchester,8.8,976396.0,75136.0,7741.0,2.2
2017,wyoming,11.2,41013.0,2006.0,283.0,
2017,yates,11.1,25048.0,1901.0,572.0,
2016,albany,13.3,308171.0,19933.0,2288.0,2.7
2016,allegany,13.2,47736.0,3496.0,517.0,
2016,broome,14.1,197349.0,13783.0,1716.0,3.6
2016,cattaraugus,13.8,78600.0,6573.0,906.0,
2016,cayuga,12.3,78823.0,5901.0,671.0,
2016,chautauqua,13.7,132053.0,10011.0,1334.0,2.5
2016,chemung,14.1,87770.0,5354.0,664.0,2.3
2016,chenango,12.4,49426.0,3561.0,448.0,
2016,clinton,13.7,81632.0,5826.0,651.0,1.7
2016,columbia,11.0,62122.0,4719.0,666.0,
2016,cortland,13.6,49024.0,3137.0,364.0,
2016,delaware,12.6,46581.0,3786.0,502.0,
2016,dutchess,10.4,296579.0,19892.0,2643.0,3.3
2016,erie,13.9,922835.0,57167.0,6622.0,6.3
2016,essex,12.9,38679.0,2876.0,357.0,
2016,franklin,14.5,51262.0,4313.0,695.0,
2016,fulton,14.2,54105.0,4230.0,439.0,
2016,genesee,11.9,59162.0,4342.0,554.0,
2016,greene,12.8,47967.0,3438.0,418.0,
2016,hamilton,10.7,4715.0,412.0,51.0,
2016,herkimer,13.3,63744.0,5104.0,617.0,
2016,jefferson,15.4,119103.0,9246.0,1095.0,2.1
2016,lewis,13.1,27220.0,2402.0,368.0,
2016,livingston,12.0,64586.0,4076.0,478.0,
2016,madison,11.8,72369.0,4406.0,600.0,
2016,monroe,13.5,749857.0,52062.0,6451.0,5.9
2016,montgomery,13.5,49779.0,4139.0,623.0,
2016,nassau,7.0,1358627.0,104079.0,12518.0,2.5
2016,niagara,13.4,213525.0,16266.0,1821.0,2.7
2016,oneida,13.6,232871.0,16501.0,2231.0,3.8
2016,onondaga,13.5,468196.0,36402.0,4562.0,5.0
2016,ontario,10.8,109707.0,6887.0,950.0,2.0
2016,orange,10.2,376099.0,30037.0,4046.0,3.3
2016,orleans,12.8,41984.0,3314.0,435.0,
2016,oswego,14.1,120913.0,9087.0,1185.0,1.6
2016,otsego,12.4,61128.0,5122.0,582.0,
2016,putnam,6.4,99487.0,6657.0,1032.0,
2016,rensselaer,12.6,159774.0,10057.0,1168.0,2.1
2016,rockland,9.7,323866.0,25886.0,4905.0,1.0
2016,st. lawrence,14.8,111400.0,9046.0,1291.0,1.7
2016,saratoga,9.7,224921.0,12058.0,1608.0,0.8
2016,schenectady,12.5,155735.0,11077.0,1385.0,4.6
2016,schoharie,11.7,31566.0,2401.0,292.0,
2016,schuyler,11.6,18479.0,1434.0,170.0,
2016,seneca,11.9,34884.0,2459.0,340.0,
2016,steuben,13.8,98394.0,8035.0,1252.0,1.8
2016,suffolk,7.1,1502968.0,123313.0,13297.0,2.7
2016,sullivan,13.7,75943.0,8107.0,970.0,2.3
2016,tioga,10.9,49870.0,3466.0,449.0,
2016,tompkins,13.8,104691.0,8378.0,903.0,1.8
2016,ulster,11.8,180445.0,16574.0,1669.0,1.6
2016,warren,11.9,64973.0,4820.0,484.0,
2016,washington,12.0,62372.0,4894.0,571.0,2.9
2016,wayne,11.2,92051.0,6946.0,918.0,
